exercise_id,exercise_name,exercise_type,body_part,equipment,primary_muscle,secondary_muscle,movement_type,exercise_image
2092,Weighted + Otis Up,bilateral_simultaneous,abs,weighted,rectus abdominis,obliques|hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/06411101-Otis-Up_waist_small.png
1719,Weighted + Crunch,bilateral_simultaneous,abs,body weight,rectus abdominis,obliques,isolation,https://apilyfta.com/static/GymvisualPNG/02681101-Crunch-(leg-raise)_waist_small.png
2186,Weighted + Sit-Up,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors|obliques,compound,https://apilyfta.com/static/GymvisualPNG/07351101-Sit-Up-II_waist_small.png
2283,Weighted + Crunch,bilateral_simultaneous,abs,weighted,rectus abdominis,obliques,isolation,https://apilyfta.com/static/GymvisualPNG/08321101-Weighted-Crunch_waist_small.png
1594,Weighted + Bridge,bilateral_simultaneous,abs,body weight,gluteus maximus,hamstrings|erector spinae,isolation,https://apilyfta.com/static/GymvisualPNG/01431101-Bridge-(straight-arm)_Waist_small.png
2071,Weighted + Lying Leg Raise Flat Bench,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors,isolation,https://apilyfta.com/static/GymvisualPNG/06201101-Lying-Leg-Raise-Flat-Bench_waist_small.png
4131,Weighted + Scissors,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors|obliques,isolation,https://apilyfta.com/static/GymvisualPNG/28931101-Scissors-(advanced)-(female)_small.png
2166,Body Weight + Side Plank,duration_based,abs,body weight,obliques|transverse abdominis,rectus abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/07151101-Side-Plank-m_Waist_small.png
1452,Weighted + 3/4 Sit-Up,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors|obliques,compound,https://apilyfta.com/static/GymvisualPNG/00011101-3-4-Sit-up_Waist_small.png
1589,Weighted + Bottoms-Up,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/01381101-Bottoms-Up-m_waist_small.png
1713,Weighted + Cross Body Crunch,bilateral_simultaneous,abs,body weight,obliques,rectus abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/02621101-Cross-Body-Crunch_waist_small.png
2276,Weighted + V-Up,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/08251101-V-up_Waist_small.png
1916,Body Weight + Front Plank,duration_based,abs,body weight,rectus abdominis,transverse abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/04651101-Front-Plank_Waist_small.png
3380,Weighted + Standing Abs Rotation Stretch,bilateral_simultaneous,abs,body weight,obliques,rectus abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/21101101-Standing-Abs-Rotation-Stretch_Waist_small.png
2313,Cable + Twist,bilateral_simultaneous,abs,cable,obliques,rectus abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/08621101-Cable-twist-(up-down)_Waist_small.png
3715,Weighted + 3 4 Sit Up,bilateral_simultaneous,abs,body weight,rectus abdominis,hip flexors|obliques,compound,https://apilyfta.com/static/GymvisualPNG/24761101-3-4-Sit-up-(female)_Waist_small.png
1725,Weighted + Crunch Floor,bilateral_simultaneous,abs,body weight,rectus abdominis,obliques,isolation,https://apilyfta.com/static/GymvisualPNG/02741101-Crunch-Floor-m_waist_small.png
1592,Weighted + Bridge - Mountain Climber,bilateral_simultaneous,abs,body weight,rectus abdominis|obliques|gluteus maximus,hamstrings|hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/01411101-Bridge---Mountain-Climber-(Cross-Body)-(female)_Waist-FIX_small.png
5368,Weighted + Side Crunch,bilateral_simultaneous,abs,weighted,obliques,rectus abdominis,isolation,https://apilyfta.com/static/GymvisualPNG/41581101-Weighted-Side-Crunch_Waist_small.png
1454,Weighted + Air Bike,bilateral_simultaneous,abs,body weight,rectus abdominis|obliques,hip flexors,compound,https://apilyfta.com/static/GymvisualPNG/00031101-air-bike-m_waist_FIX_small.png
